TIPO;ID;DATO1;DATO2;DATO3;DATO4;DATO5;DATO6
BUS;101;40
BUS;102;35
BUS;103;50
BUS;104;30
BUS;105;45
VIAJE;1;Santiago;Valparaiso;4500.0;6000.0;2026-09-10T08:00:00;120
BUS_VIAJE;1;101;40
BUS_VIAJE;1;102;35
BUS_VIAJE;1;103;50
BUS_VIAJE;1;104;30
BUS_VIAJE;1;105;45
VIAJE;2;Valparaiso;Santiago;4500.0;6000.0;2026-09-10T12:00:00;120
BUS_VIAJE;2;101;40
BUS_VIAJE;2;102;35
BUS_VIAJE;2;103;50
BUS_VIAJE;2;104;30
BUS_VIAJE;2;105;45
VIAJE;3;Santiago;Viña del Mar;3000.0;4500.0;2026-09-11T09:30:00;100
BUS_VIAJE;3;101;40
BUS_VIAJE;3;102;35
BUS_VIAJE;3;103;50
BUS_VIAJE;3;104;30
BUS_VIAJE;3;105;45
VIAJE;4;Viña del Mar;Santiago;3000.0;4500.0;2026-09-11T14:00:00;100
BUS_VIAJE;4;101;40
BUS_VIAJE;4;102;35
BUS_VIAJE;4;103;50
BUS_VIAJE;4;104;30
BUS_VIAJE;4;105;45
VIAJE;5;Santiago;Concepcion;12000.0;15000.0;2026-09-12T07:00:00;360
BUS_VIAJE;5;101;40
BUS_VIAJE;5;102;35
BUS_VIAJE;5;103;50
BUS_VIAJE;5;104;30
BUS_VIAJE;5;105;45
VIAJE;6;Concepcion;Santiago;12000.0;15000.0;2026-09-12T15:00:00;360
BUS_VIAJE;6;101;40
BUS_VIAJE;6;102;35
BUS_VIAJE;6;103;50
BUS_VIAJE;6;104;30
BUS_VIAJE;6;105;45
VIAJE;7;Valparaiso;Calle larga;100000.0;5000.0;2026-09-09T20:20:00;120
BUS_VIAJE;7;101;40
BUS_VIAJE;7;102;35
BUS_VIAJE;7;103;50
BUS_VIAJE;7;104;30
BUS_VIAJE;7;105;45
VIAJE;8;ConCon;San roque};50000.0;2500.0;2026-09-11T20:30:00;120
BUS_VIAJE;8;101;40
BUS_VIAJE;8;102;35
VIAJE;9;dnawjdnaw;ndjawnda;100000.0;5000.0;2026-09-11T22:00:00;120
BUS_VIAJE;9;103;50
PASAJERO;1;dnakd;2;9;103
BUS_VIAJE;9;104;30
BUS_VIAJE;9;105;45
